case_id,activity,resource,agent_type,valid,accept,suitability,expected_delay_minutes,reason,memory_items,error_type,selected
0,Check application form completeness,Clerk-000001,Role 1,true,true,0.138165,0.0,Suitability based on agent type and available time,0,,true
0,Check application form completeness,Clerk-000006,Role 1,true,true,0.138165,0.0,Suitability based on agent type and available time,0,,false
0,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Suitability based on agent type and activity prior,0,,true
0,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on agent type and recent tasks is moderate.,0,,false
1,Check application form completeness,Clerk-000006,Role 1,true,true,0.138165,30.0,Available at the same time as the task and has some relevant capabilities,0,,true
1,Check application form completeness,Clerk-000008,Role 1,true,true,0.1359,30.0,Available at the same time as the task and has some relevant activity history,0,,false
0,Appraise property,Appraiser-000001,Role 4,true,true,0.508156,0.0,Suitability based on agent type and activity prior,0,,true
0,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Agent has suitable type and capabilities for the task.,0,,false
1,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Agent has suitable prior activity for the task,0,,true
2,Check application form completeness,Clerk-000008,Role 1,true,true,0.1359,0.0,Suitability based on agent type and activity prior,0,,true
2,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,0.0,Suitability based on agent type and available time,0,,false
0,Check credit history,Clerk-000005,Role 1,true,true,0.139272,0.0,Suitability based on agent type and available time,0,,true
0,Check credit history,Clerk-000002,Role 1,true,true,0.138018,0.0,Suitability based on agent type and available time,0,,false
3,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,0.0,Suitability based on agent type and available time,0,,true
3,Check application form completeness,Clerk-000003,Role 1,true,true,0.124575,0.0,Suitability based on agent type and available time,0,,false
2,Return application back to applicant,Clerk-000003,Role 1,true,true,0.127907,0.0,Suitability based on activity prior,0,,true
2,Return application back to applicant,Clerk-000002,Role 1,true,true,0.116279,0.0,Available and has relevant capability,0,,false
1,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on agent type and activity prior,0,,false
1,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Suitability based on past activity priority and agent type matches,1,,true
0,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,Suitability based on agent type and available capabilities,0,,true
0,Assess loan risk,Loan Officer-000004,Role 2,true,true,0.25345,0.0,Suitability based on agent type and available capabilities,0,,false
2,Applicant completes form,Applicant-000001,Role 6,true,true,1.0,0.0,High suitability due to matching agent type and recent inactivity.,0,,true
3,Check credit history,Clerk-000002,Role 1,true,true,0.138018,0.0,Suitability based on agent type and available time,0,,true
3,Check credit history,Clerk-000004,Role 1,true,true,0.136763,0.0,Suitability based on agent type and available time,0,,false
4,Check application form completeness,Clerk-000004,Role 1,true,true,0.105323,0.0,Suitability based on agent type and available time,0,,false
4,Check application form completeness,Clerk-000001,Role 1,true,true,0.138165,0.0,Suitability based on past activity priority,1,,true
1,Check credit history,Clerk-000004,Role 1,true,true,0.136763,0.0,Suitability based on agent type and available time,0,,false
1,Check credit history,Clerk-000002,Role 1,true,true,0.138018,0.0,"Suitability based on past activity, no delay expected",1,,true
0,Reject application,Clerk-000004,Role 1,true,true,0.130699,0.0,Suitability based on agent type and activity prior,0,,false
0,Reject application,Clerk-000008,Role 1,true,true,0.136778,0.0,"Suitability based on past activity priority, agent type and recent task",1,,true
4,Check credit history,Clerk-000004,Role 1,true,true,0.136763,0.0,Suitability based on agent type and available time,0,,true
4,Check credit history,Clerk-000003,Role 1,true,true,0.126725,0.0,"Suitability based on activity prior, agent type and capability count",1,,false
5,Check application form completeness,Clerk-000006,Role 1,true,true,0.138165,0.0,Suitability based on past activity priority,1,,true
5,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,0.0,The agent has the required capability and recent experience with the task activity.,1,,false
2,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,12.0,Recent task of similar activity took 12 minutes,1,,false
2,Check application form completeness,Clerk-000003,Role 1,true,true,0.5,5.0,"Recent task is similar but not identical, and agent has some capability",1,,true
3,Appraise property,Appraiser-000001,Role 4,true,true,0.508156,33.0,The agent has a suitable activity prior and is available at the current time.,1,,true
3,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,1,,false
1,Assess loan risk,Loan Officer-000004,Role 2,true,true,0.25345,0.0,Suitability based on agent type and available capabilities,0,,true
1,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.25,0.0,The agent has the required capability count and is available at the specified time.,0,,false
4,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on agent type and activity prior,0,,true
5,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,"Suitability based on past activity, agent type and available at time.",1,,false
5,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Suitability based on past activity prior and capability count.,2,,true
6,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,30.0,Recent task with similar activity was completed 30 minutes ago,1,,true
6,Check application form completeness,Clerk-000004,Role 1,true,true,0.105323,0.0,Suitability based on recent task activity,1,,false
3,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity.,1,,false
3,AML check,AML Investigator-000002,Role 3,true,true,0.508156,0.0,Suitability based on past activity matches the task's activity.,2,,true
2,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity priority and agent type matches,1,,false
2,Appraise property,Appraiser-000001,Role 4,true,true,0.508156,0.0,Suitability based on past activity matches the task's activity.,2,,true
1,Design loan offer,Loan Officer-000003,Role 2,true,true,0.282051,0.0,Suitability based on agent type and available time,0,,true
1,Design loan offer,Loan Officer-000002,Role 2,true,true,0.245726,0.0,Suitability based on agent type and available time,0,,false
4,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,18.0,"Recent task was completed 15 minutes ago, and agent has a suitable prior activity level.",1,,true
5,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,"Suitability based on past activity, agent type and available at time.",1,,true
6,Return application back to applicant,Clerk-000004,Role 1,true,true,0.5,10.0,"Recent task was completed 14 minutes ago, and agent has been available for 11 minutes.",1,,false
6,Return application back to applicant,Clerk-000006,Role 1,true,true,0.5,0.0,"Recent tasks are similar to the current task, but not identical.",2,,true
7,Check application form completeness,Clerk-000004,Role 1,true,true,0.105323,0.0,Suitability based on agent's recent activity and capability count,1,,false
7,Check application form completeness,Clerk-000001,Role 1,true,true,0.5,0.0,"Recent tasks have similar activity, but not the same case_id",2,,true
2,AML check,AML Investigator-000001,Role 3,true,true,0.491844,0.0,Suitability based on past activity matches the task's previous activity.,2,,true
1,Approve loan offer,Senior Officer-000001,Role 5,true,true,0.5,0.0,Agent has the required capability count and is available at the specified time.,0,,true
1,Approve loan offer,Senior Officer-000002,Role 5,true,true,0.5,0.0,Agent has the required capability count and is available at the specified time.,0,,false
3,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.25,0.0,Suitability based on agent type and recent tasks,0,,false
3,Assess loan risk,Loan Officer-000001,Role 2,true,true,0.264743,0.0,"Suitability based on past activity, no delay expected",1,,true
4,Assess loan risk,Loan Officer-000002,Role 2,true,true,0.25,0.0,Agent has relevant capability count and is available at the required time.,0,,true
6,Applicant completes form,Applicant-000001,Role 6,true,true,0.5,30.0,Recent task of similar activity and capability count is high,1,,true
5,Check credit history,Clerk-000005,Role 1,true,true,0.139272,8.0,Recent task of similar activity was completed 6 minutes ago,1,,true
5,Check credit history,Clerk-000004,Role 1,true,true,0.136763,16.0,Recent task was completed 26 minutes ago,1,,false
7,Check credit history,Clerk-000004,Role 1,true,true,0.136763,0.0,Suitability based on past activity priority,1,,false
7,Check credit history,Clerk-000005,Role 1,true,true,0.139272,0.0,Suitability based on recent task history,2,,true
8,Check application form completeness,Clerk-000004,Role 1,true,true,0.105323,0.0,Suitability based on agent's recent activity and capability count,1,,false
8,Check application form completeness,Clerk-000007,Role 1,true,true,0.130238,0.0,Suitability based on recent task history,2,,true
2,Check credit history,Clerk-000004,Role 1,true,true,0.136763,0.0,"Suitability based on past activity, no delay expected",1,,false
2,Check credit history,Clerk-000002,Role 1,true,true,0.5,0.0,Recent similar task completed 45 minutes ago,2,,true
1,Cancel application,Clerk-000004,Role 1,true,true,0.137931,12.0,Recent task 'Check credit history' was completed 8 minutes ago,1,,false
1,Cancel application,Clerk-000008,Role 1,true,true,0.5,0.0,The agent has relevant capabilities and recent experience with similar tasks.,2,,true
3,Reject application,Clerk-000004,Role 1,true,true,0.5,10.0,"Recent task is similar, but not exactly the same activity",1,,true
3,Reject application,Clerk-000003,Role 1,true,true,0.5,10.0,"Recent tasks have similar activities, but not the exact one, and the agent has been available for a while.",2,,false
4,Design loan offer,Loan Officer-000002,Role 2,true,true,0.8,5.0,Recent experience with similar tasks and available at the required time,1,,true
5,Appraise property,Appraiser-000002,Role 4,true,true,0.491844,0.0,Suitability based on past activity matches the task's activity,2,,true
8,Check credit history,Clerk-000003,Role 1,true,true,0.126725,0.0,"Suitability based on past activities, no delay expected",2,,false
8,Check credit history,Clerk-000007,Role 1,true,true,0.5,0.0,"Recent tasks are similar to the current task, but not identical.",3,,true
9,Check application form completeness,Clerk-000003,Role 1,true,true,0.5,10.0,Recent similar task completed 52 minutes ago,2,,true
9,Check application form completeness,Clerk-000001,Role 1,true,true,0.138165,0.0,Suitability based on past activity prior,3,,false
