call,cache_hit,resource,activity,status,prompt_tokens,completion_tokens,total_tokens,latency_seconds,error_type,error_message
1,0,Clerk-000001,Check application form completeness,success,240,43,283,0.256447,,
2,0,Clerk-000006,Check application form completeness,success,240,43,283,0.156763,,
3,0,AML Investigator-000002,AML check,success,252,43,295,0.17086,,
4,0,AML Investigator-000001,AML check,success,252,45,297,0.187883,,
5,0,Clerk-000006,Check application form completeness,success,240,47,287,0.179596,,
6,0,Clerk-000008,Check application form completeness,success,240,48,288,0.18681,,
7,0,Appraiser-000001,Appraise property,success,251,43,294,0.175939,,
8,0,Appraiser-000002,Appraise property,success,251,43,294,0.173793,,
9,0,Appraiser-000002,Appraise property,success,253,42,295,0.160677,,
10,0,Clerk-000008,Check application form completeness,success,240,43,283,0.15711,,
11,0,Clerk-000007,Check application form completeness,success,240,43,283,0.182048,,
12,0,Clerk-000005,Check credit history,success,252,43,295,0.18111,,
13,0,Clerk-000002,Check credit history,success,252,43,295,0.160876,,
14,0,Clerk-000007,Check application form completeness,success,240,43,283,0.177125,,
15,0,Clerk-000003,Check application form completeness,success,240,43,283,0.157314,,
16,0,Clerk-000003,Return application back to applicant,success,255,40,295,0.19112,,
17,0,Clerk-000002,Return application back to applicant,success,255,39,294,0.19743,,
18,0,AML Investigator-000001,AML check,success,251,43,294,0.191213,,
19,0,AML Investigator-000002,AML check,success,294,45,339,0.169734,,
20,0,Loan Officer-000001,Assess loan risk,success,252,43,295,0.175928,,
21,0,Loan Officer-000004,Assess loan risk,success,252,43,295,0.203003,,
22,0,Applicant-000001,Applicant completes form,success,253,44,297,0.174216,,
23,0,Clerk-000002,Check credit history,success,253,43,296,0.177333,,
24,0,Clerk-000004,Check credit history,success,253,43,296,0.171094,,
25,0,Clerk-000004,Check application form completeness,success,240,43,283,0.188816,,
26,0,Clerk-000001,Check application form completeness,success,281,41,322,0.193704,,
27,0,Clerk-000004,Check credit history,success,251,43,294,0.180366,,
28,0,Clerk-000002,Check credit history,success,295,44,339,0.184521,,
29,0,Clerk-000004,Reject application,success,251,43,294,0.17039,,
30,0,Clerk-000008,Reject application,success,292,47,339,0.186232,,
31,0,Clerk-000004,Check credit history,success,253,43,296,0.185967,,
32,0,Clerk-000003,Check credit history,success,299,46,345,0.211966,,
33,0,Clerk-000006,Check application form completeness,success,281,41,322,0.148553,,
34,0,Clerk-000007,Check application form completeness,success,281,47,328,0.209064,,
35,0,Clerk-000007,Check application form completeness,success,294,43,337,0.211414,,
36,0,Clerk-000003,Check application form completeness,success,299,46,345,0.185824,,
37,0,Appraiser-000001,Appraise property,success,296,48,344,0.159019,,
38,0,Appraiser-000002,Appraise property,success,296,45,341,0.202751,,
39,0,Loan Officer-000004,Assess loan risk,success,252,43,295,0.185006,,
40,0,Loan Officer-000002,Assess loan risk,success,252,47,299,0.160287,,
41,0,AML Investigator-000001,AML check,success,251,43,294,0.152149,,
42,0,AML Investigator-000001,AML check,success,295,47,342,0.195291,,
43,0,AML Investigator-000002,AML check,success,334,44,378,0.166877,,
44,0,Clerk-000007,Check application form completeness,success,281,45,326,0.169389,,
45,0,Clerk-000004,Check application form completeness,success,284,41,325,0.164652,,
46,0,AML Investigator-000001,AML check,success,294,45,339,0.161276,,
47,0,AML Investigator-000002,AML check,success,333,45,378,0.169512,,
48,0,Appraiser-000002,Appraise property,success,297,45,342,0.179042,,
49,0,Appraiser-000001,Appraise property,success,337,45,382,0.203791,,
50,0,Loan Officer-000003,Design loan offer,success,251,43,294,0.162124,,
51,0,Loan Officer-000002,Design loan offer,success,251,43,294,0.159187,,
52,0,Appraiser-000002,Appraise property,success,295,51,346,0.193965,,
53,0,AML Investigator-000001,AML check,success,295,47,342,0.162827,,
54,0,Clerk-000004,Return application back to applicant,success,299,51,350,0.175851,,
55,0,Clerk-000006,Return application back to applicant,success,333,45,378,0.170901,,
56,0,Clerk-000004,Check application form completeness,success,284,45,329,0.178491,,
57,0,Clerk-000001,Check application form completeness,success,318,45,363,0.154725,,
58,0,AML Investigator-000001,AML check,success,333,46,379,0.18969,,
59,0,Senior Officer-000001,Approve loan offer,success,250,46,296,0.160775,,
60,0,Senior Officer-000002,Approve loan offer,success,250,46,296,0.170866,,
61,0,Loan Officer-000002,Assess loan risk,success,251,42,293,0.17928,,
62,0,Loan Officer-000001,Assess loan risk,success,296,44,340,0.183605,,
63,0,Loan Officer-000002,Assess loan risk,success,252,45,297,0.195359,,
64,0,Applicant-000001,Applicant completes form,success,298,43,341,0.226417,,
65,0,Clerk-000005,Check credit history,success,295,45,340,0.18336,,
66,0,Clerk-000004,Check credit history,success,295,42,337,0.192438,,
67,0,Clerk-000004,Check credit history,success,297,41,338,0.160018,,
68,0,Clerk-000005,Check credit history,success,337,41,378,0.165178,,
69,0,Clerk-000004,Check application form completeness,success,284,45,329,0.187247,,
70,0,Clerk-000007,Check application form completeness,success,318,41,359,0.173221,,
71,0,Clerk-000004,Check credit history,success,295,44,339,0.157426,,
72,0,Clerk-000002,Check credit history,success,335,41,376,0.172408,,
73,0,Clerk-000004,Cancel application,success,295,47,342,0.20937,,
74,0,Clerk-000008,Cancel application,success,331,44,375,0.167806,,
75,0,Clerk-000004,Reject application,success,295,44,339,0.167129,,
76,0,Clerk-000003,Reject application,success,338,54,392,0.222852,,
77,0,Loan Officer-000002,Design loan offer,success,296,44,340,0.188276,,
78,0,Appraiser-000002,Appraise property,success,336,45,381,0.168471,,
79,0,Clerk-000003,Check credit history,success,340,44,384,0.167149,,
80,0,Clerk-000007,Check credit history,success,368,45,413,0.195743,,
81,0,Clerk-000003,Check application form completeness,success,327,41,368,0.19327,,
82,0,Clerk-000001,Check application form completeness,success,355,41,396,0.157138,,
83,0,Clerk-000001,Check application form completeness,success,368,47,415,0.206531,,
84,0,Clerk-000006,Check application form completeness,success,373,49,422,0.180186,,
85,0,Appraiser-000001,Appraise property,success,376,43,419,0.19477,,
86,0,Appraiser-000002,Appraise property,success,376,43,419,0.173739,,
87,0,Loan Officer-000004,Assess loan risk,success,297,44,341,0.201799,,
88,0,Loan Officer-000003,Assess loan risk,success,296,51,347,0.19886,,
89,0,Senior Officer-000002,Approve loan offer,success,250,46,296,0.172902,,
90,0,Loan Officer-000004,Assess loan risk,success,297,44,341,0.202155,,
91,0,Loan Officer-000002,Assess loan risk,success,337,43,380,0.218898,,
92,0,Clerk-000003,Check credit history,success,377,50,427,0.196936,,
93,0,Clerk-000001,Check credit history,success,368,41,409,0.17878,,
94,0,AML Investigator-000002,AML check,success,372,43,415,0.165862,,
95,0,AML Investigator-000001,AML check,success,372,45,417,0.20485,,
96,0,Appraiser-000002,Appraise property,success,377,43,420,0.228385,,
97,0,AML Investigator-000001,AML check,success,372,43,415,0.175635,,
98,0,Clerk-000001,Approve application,success,367,41,408,0.186174,,
99,0,Clerk-000004,Reject application,success,334,41,375,0.152965,,
100,0,Clerk-000008,Reject application,success,370,46,416,0.223355,,
101,0,Appraiser-000001,Appraise property,success,376,45,421,0.160228,,
102,0,Appraiser-000002,Appraise property,success,376,45,421,0.200664,,
103,0,Loan Officer-000004,Assess loan risk,success,337,44,381,0.172372,,
104,0,Loan Officer-000002,Assess loan risk,success,336,43,379,0.164809,,
105,0,Clerk-000005,Check credit history,success,376,41,417,0.177145,,
106,0,Clerk-000004,Check credit history,success,374,45,419,0.19564,,
107,0,Clerk-000008,Reject application,success,370,56,426,0.230893,,
108,0,Clerk-000004,Reject application,success,373,42,415,0.182728,,
109,0,Appraiser-000001,Appraise property,success,376,45,421,0.189384,,
110,0,Appraiser-000002,Appraise property,success,376,44,420,0.177137,,
111,0,Appraiser-000002,Appraise property,success,376,44,420,0.192766,,
112,0,AML Investigator-000002,AML check,success,372,45,417,0.207258,,
113,0,AML Investigator-000001,AML check,success,372,45,417,0.208468,,
114,0,Loan Officer-000002,Design loan offer,success,336,46,382,0.174133,,
115,0,Loan Officer-000004,Design loan offer,success,378,45,423,0.1649,,
116,0,Senior Officer-000001,Approve loan offer,success,295,42,337,0.153756,,
117,0,Senior Officer-000002,Approve loan offer,success,295,42,337,0.159874,,
118,0,AML Investigator-000002,AML check,success,372,43,415,0.159205,,
119,0,AML Investigator-000001,AML check,success,372,45,417,0.199659,,
120,0,AML Investigator-000001,AML check,success,372,45,417,0.20529,,
121,0,AML Investigator-000002,AML check,success,372,45,417,0.19637,,
122,0,Loan Officer-000002,Assess loan risk,success,336,43,379,0.204415,,
123,0,Clerk-000008,Cancel application,success,370,46,416,0.200651,,
124,0,Clerk-000005,Cancel application,success,375,46,421,0.19923,,
125,0,Loan Officer-000001,Assess loan risk,success,337,44,381,0.194493,,
126,0,Loan Officer-000002,Assess loan risk,success,377,45,422,0.173777,,
127,0,Loan Officer-000001,Assess loan risk,success,337,44,381,0.203834,,
128,0,Loan Officer-000003,Assess loan risk,success,336,42,378,0.176032,,
129,0,Loan Officer-000001,Design loan offer,success,337,44,381,0.20685,,
130,0,Loan Officer-000004,Design loan offer,success,377,44,421,0.205943,,
131,0,Loan Officer-000001,Design loan offer,success,337,41,378,0.179909,,
132,0,Loan Officer-000003,Design loan offer,success,377,44,421,0.189224,,
133,0,Senior Officer-000001,Approve loan offer,success,295,42,337,0.157249,,
134,0,Clerk-000008,Reject application,success,370,47,417,0.1926,,
