case_id,from_resource,to_resource,activity,timestamp,message
S_llm_agent_proxy_0000,Clerk-000006,AML Investigator-000001,AML check,2023-04-20T08:14:01+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0000,AML Investigator-000001,Clerk-000007,Check credit history,2023-04-20T09:04:14+00:00,Handover for Check credit history; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0000,Clerk-000007,Appraiser-000001,Appraise property,2023-04-20T09:23:13+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0000,Appraiser-000001,Loan Officer-000004,Assess loan risk,2023-04-20T09:42:35+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0000,Loan Officer-000004,Clerk-000007,Reject application,2023-04-20T10:02:35+00:00,Handover for Reject application; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000005,AML Investigator-000001,AML check,2023-04-20T08:55:09+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0001,AML Investigator-000001,Clerk-000008,Check credit history,2023-04-20T09:18:20+00:00,Handover for Check credit history; selected Clerk-000008 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000008,Appraiser-000001,Appraise property,2023-04-20T09:37:56+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0001,Appraiser-000001,Loan Officer-000003,Assess loan risk,2023-04-20T10:04:39+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000003,Loan Officer-000001,Design loan offer,2023-04-20T10:24:39+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000001,Senior Officer-000002,Approve loan offer,2023-04-20T10:25:16+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0001,Senior Officer-000002,Clerk-000002,Approve application,2023-04-20T10:45:16+00:00,Handover for Approve application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0002,Clerk-000008,Clerk-000001,Check credit history,2023-04-20T09:14:07+00:00,Handover for Check credit history; selected Clerk-000001 from 7 feasible resources.
S_llm_agent_proxy_0002,Clerk-000001,Appraiser-000001,Appraise property,2023-04-20T10:28:46+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0002,Appraiser-000001,AML Investigator-000001,AML check,2023-04-20T11:40:05+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0002,AML Investigator-000001,Loan Officer-000002,Assess loan risk,2023-04-20T13:11:05+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0002,Loan Officer-000002,Loan Officer-000004,Design loan offer,2023-04-20T13:31:05+00:00,Handover for Design loan offer; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0002,Loan Officer-000004,Senior Officer-000001,Approve loan offer,2023-04-20T13:31:19+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0002,Senior Officer-000001,Clerk-000001,Approve application,2023-04-21T05:51:19+00:00,Handover for Approve application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0003,Clerk-000007,Clerk-000008,Check credit history,2023-04-20T10:18:39+00:00,Handover for Check credit history; selected Clerk-000008 from 7 feasible resources.
S_llm_agent_proxy_0003,Clerk-000008,AML Investigator-000002,AML check,2023-04-20T10:19:55+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0003,AML Investigator-000002,Appraiser-000001,Appraise property,2023-04-20T10:43:50+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0003,Appraiser-000001,Loan Officer-000002,Assess loan risk,2023-04-20T10:58:31+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0003,Loan Officer-000002,Loan Officer-000003,Design loan offer,2023-04-20T11:18:31+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0003,Loan Officer-000003,Senior Officer-000001,Approve loan offer,2023-04-20T11:21:32+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0003,Senior Officer-000001,Clerk-000001,Approve application,2023-04-20T11:41:32+00:00,Handover for Approve application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0004,Clerk-000007,AML Investigator-000002,AML check,2023-04-21T02:09:42+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0004,AML Investigator-000002,Clerk-000002,Check credit history,2023-04-21T02:14:52+00:00,Handover for Check credit history; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0004,Clerk-000002,Appraiser-000001,Appraise property,2023-04-21T02:39:08+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0004,Appraiser-000001,Loan Officer-000001,Assess loan risk,2023-04-21T03:32:19+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0004,Loan Officer-000001,Loan Officer-000003,Design loan offer,2023-04-21T03:52:19+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0004,Loan Officer-000003,Senior Officer-000002,Approve loan offer,2023-04-21T04:10:39+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0004,Senior Officer-000002,Clerk-000006,Approve application,2023-04-21T04:30:39+00:00,Handover for Approve application; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0005,Clerk-000005,AML Investigator-000001,AML check,2023-04-21T02:39:22+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0005,AML Investigator-000001,Clerk-000005,Check credit history,2023-04-21T03:31:33+00:00,Handover for Check credit history; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0005,Clerk-000005,Appraiser-000001,Appraise property,2023-04-21T03:34:58+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0005,Appraiser-000001,Loan Officer-000001,Assess loan risk,2023-04-21T05:28:29+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0005,Loan Officer-000001,Clerk-000007,Reject application,2023-04-21T05:48:29+00:00,Handover for Reject application; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0006,Clerk-000007,Appraiser-000002,Appraise property,2023-04-21T19:35:05+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0006,Appraiser-000002,Clerk-000007,Check credit history,2023-04-21T20:13:06+00:00,Handover for Check credit history; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0006,Clerk-000007,AML Investigator-000001,AML check,2023-04-21T20:13:41+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0006,AML Investigator-000001,Loan Officer-000004,Assess loan risk,2023-04-21T20:28:15+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0006,Loan Officer-000004,Clerk-000002,Reject application,2023-04-21T20:48:15+00:00,Handover for Reject application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0007,Clerk-000007,Clerk-000006,Check credit history,2023-04-21T03:51:41+00:00,Handover for Check credit history; selected Clerk-000006 from 7 feasible resources.
S_llm_agent_proxy_0007,Clerk-000006,Appraiser-000001,Appraise property,2023-04-21T04:14:31+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0007,Appraiser-000001,AML Investigator-000002,AML check,2023-04-21T20:42:31+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0007,AML Investigator-000002,Loan Officer-000003,Assess loan risk,2023-04-21T21:58:08+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0007,Loan Officer-000003,Clerk-000002,Reject application,2023-04-21T22:18:08+00:00,Handover for Reject application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0008,Clerk-000006,AML Investigator-000002,AML check,2023-04-21T04:15:57+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0008,AML Investigator-000002,Appraiser-000001,Appraise property,2023-04-21T20:46:59+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0008,Appraiser-000001,Clerk-000002,Check credit history,2023-04-21T20:50:24+00:00,Handover for Check credit history; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0008,Clerk-000002,Loan Officer-000002,Assess loan risk,2023-04-21T21:15:08+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0008,Loan Officer-000002,Loan Officer-000001,Design loan offer,2023-04-21T21:35:08+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0008,Loan Officer-000001,Senior Officer-000001,Approve loan offer,2023-04-21T21:48:57+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
S_llm_agent_proxy_0008,Senior Officer-000001,Clerk-000002,Approve application,2023-04-21T22:08:57+00:00,Handover for Approve application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0009,Clerk-000004,Clerk-000008,Check credit history,2023-04-21T20:31:57+00:00,Handover for Check credit history; selected Clerk-000008 from 7 feasible resources.
S_llm_agent_proxy_0009,Clerk-000008,AML Investigator-000002,AML check,2023-04-21T21:08:12+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0009,AML Investigator-000002,Appraiser-000001,Appraise property,2023-04-21T21:24:23+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0009,Appraiser-000001,Loan Officer-000002,Assess loan risk,2023-04-21T21:52:05+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0009,Loan Officer-000002,Clerk-000007,Reject application,2023-04-21T22:12:05+00:00,Handover for Reject application; selected Clerk-000007 from 8 feasible resources.
S_llm_agent_proxy_0010,Clerk-000002,AML Investigator-000002,AML check,2023-04-21T05:16:35+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0010,AML Investigator-000002,Clerk-000003,Check credit history,2023-04-21T05:45:50+00:00,Handover for Check credit history; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0010,Clerk-000003,Appraiser-000002,Appraise property,2023-04-21T06:25:46+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0010,Appraiser-000002,Loan Officer-000001,Assess loan risk,2023-04-21T07:44:21+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0010,Loan Officer-000001,Loan Officer-000002,Design loan offer,2023-04-21T08:04:21+00:00,Handover for Design loan offer; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0010,Loan Officer-000002,Senior Officer-000002,Approve loan offer,2023-04-21T08:11:41+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0010,Senior Officer-000002,Clerk-000001,Approve application,2023-04-21T08:31:41+00:00,Handover for Approve application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0011,Clerk-000002,Appraiser-000001,Appraise property,2023-04-21T06:14:15+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0011,Appraiser-000001,Clerk-000005,Check credit history,2023-04-21T06:17:19+00:00,Handover for Check credit history; selected Clerk-000005 from 8 feasible resources.
S_llm_agent_proxy_0011,Clerk-000005,AML Investigator-000001,AML check,2023-04-21T06:19:23+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0011,AML Investigator-000001,Loan Officer-000001,Assess loan risk,2023-04-21T22:49:42+00:00,Handover for Assess loan risk; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0011,Loan Officer-000001,Clerk-000001,Reject application,2023-04-21T23:09:42+00:00,Handover for Reject application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0012,Clerk-000007,AML Investigator-000002,AML check,2023-04-21T06:04:36+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0012,AML Investigator-000002,Clerk-000006,Check credit history,2023-04-21T06:13:24+00:00,Handover for Check credit history; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0012,Clerk-000006,Appraiser-000001,Appraise property,2023-04-21T06:13:53+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0012,Appraiser-000001,Loan Officer-000004,Assess loan risk,2023-04-21T06:18:12+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0012,Loan Officer-000004,Loan Officer-000003,Design loan offer,2023-04-21T06:38:12+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0012,Loan Officer-000003,Senior Officer-000002,Approve loan offer,2023-04-21T06:40:28+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0012,Senior Officer-000002,Clerk-000002,Approve application,2023-04-21T07:00:28+00:00,Handover for Approve application; selected Clerk-000002 from 8 feasible resources.
S_llm_agent_proxy_0013,Clerk-000007,Clerk-000004,Check credit history,2023-04-21T06:35:34+00:00,Handover for Check credit history; selected Clerk-000004 from 7 feasible resources.
S_llm_agent_proxy_0013,Clerk-000004,Appraiser-000002,Appraise property,2023-04-21T07:50:44+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0013,Appraiser-000002,AML Investigator-000002,AML check,2023-04-21T08:16:17+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0013,AML Investigator-000002,Loan Officer-000003,Assess loan risk,2023-04-21T08:31:28+00:00,Handover for Assess loan risk; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0013,Loan Officer-000003,Loan Officer-000001,Design loan offer,2023-04-21T08:51:28+00:00,Handover for Design loan offer; selected Loan Officer-000001 from 4 feasible resources.
S_llm_agent_proxy_0013,Loan Officer-000001,Senior Officer-000002,Approve loan offer,2023-04-21T08:54:07+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0013,Senior Officer-000002,Clerk-000001,Cancel application,2023-04-21T09:14:07+00:00,Handover for Cancel application; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0014,Clerk-000003,AML Investigator-000002,AML check,2023-04-21T07:00:13+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0014,AML Investigator-000002,Clerk-000001,Check credit history,2023-04-21T07:34:55+00:00,Handover for Check credit history; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0014,Clerk-000001,Appraiser-000001,Appraise property,2023-04-21T07:41:27+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0014,Appraiser-000001,Loan Officer-000004,Assess loan risk,2023-04-21T09:16:20+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0014,Loan Officer-000004,Clerk-000004,Reject application,2023-04-21T09:36:20+00:00,Handover for Reject application; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0015,Clerk-000004,Clerk-000005,Check credit history,2023-04-21T07:37:57+00:00,Handover for Check credit history; selected Clerk-000005 from 7 feasible resources.
S_llm_agent_proxy_0015,Clerk-000005,Appraiser-000002,Appraise property,2023-04-21T07:43:06+00:00,Handover for Appraise property; selected Appraiser-000002 from 2 feasible resources.
S_llm_agent_proxy_0015,Appraiser-000002,AML Investigator-000001,AML check,2023-04-21T07:52:23+00:00,Handover for AML check; selected AML Investigator-000001 from 2 feasible resources.
S_llm_agent_proxy_0015,AML Investigator-000001,Loan Officer-000002,Assess loan risk,2023-04-21T09:34:26+00:00,Handover for Assess loan risk; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0015,Loan Officer-000002,Clerk-000004,Reject application,2023-04-21T09:54:26+00:00,Handover for Reject application; selected Clerk-000004 from 8 feasible resources.
S_llm_agent_proxy_0016,Clerk-000003,Clerk-000002,Return application back to applicant,2023-04-21T08:01:10+00:00,Handover for Return application back to applicant; selected Clerk-000002 from 7 feasible resources.
S_llm_agent_proxy_0016,Clerk-000002,Applicant-000001,Applicant completes form,2023-04-21T08:06:10+00:00,Handover for Applicant completes form; selected Applicant-000001 from 1 feasible resources.
S_llm_agent_proxy_0016,Applicant-000001,Clerk-000001,Check application form completeness,2023-04-21T09:06:10+00:00,Handover for Check application form completeness; selected Clerk-000001 from 8 feasible resources.
S_llm_agent_proxy_0016,Clerk-000001,AML Investigator-000002,AML check,2023-04-21T09:38:32+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
