case_id,activity,resource,start_time,end_time
0,Check application form completeness,Clerk-000001,2023-04-20 08:00:00+00:00,2023-04-20 08:14:23.497469+00:00
0,AML check,AML Investigator-000002,2023-04-20 08:14:23.497469+00:00,2023-04-20 09:33:51.203074+00:00
1,Check application form completeness,Clerk-000006,2023-04-20 08:18:45+00:00,2023-04-20 08:47:36.895713+00:00
0,Appraise property,Appraiser-000001,2023-04-20 09:33:51.203074+00:00,2023-04-20 10:33:06.239307+00:00
2,Check application form completeness,Clerk-000008,2023-04-20 08:37:30+00:00,2023-04-20 09:57:28.914809+00:00
1,AML check,AML Investigator-000001,2023-04-20 08:47:36.895713+00:00,2023-04-20 09:46:23.776806+00:00
0,Check credit history,Clerk-000005,2023-04-20 10:33:06.239307+00:00,2023-04-20 11:31:27.098319+00:00
3,Check application form completeness,Clerk-000007,2023-04-20 08:56:15+00:00,2023-04-20 09:09:38.830911+00:00
1,Appraise property,Appraiser-000002,2023-04-20 09:46:23.776806+00:00,2023-04-20 09:59:11.879907+00:00
2,Return application back to applicant,Clerk-000003,2023-04-20 09:57:28.914809+00:00,2023-04-20 10:02:28.914809+00:00
0,Assess loan risk,Loan Officer-000001,2023-04-20 11:31:27.098319+00:00,2023-04-20 11:51:27.098319+00:00
3,Check credit history,Clerk-000002,2023-04-20 09:09:38.830911+00:00,2023-04-20 09:23:18.952386+00:00
4,Check application form completeness,Clerk-000001,2023-04-20 09:15:00+00:00,2023-04-20 09:28:09.487046+00:00
1,Check credit history,Clerk-000002,2023-04-20 09:59:11.879907+00:00,2023-04-20 10:16:39.462473+00:00
2,Applicant completes form,Applicant-000001,2023-04-20 10:02:28.914809+00:00,2023-04-20 11:02:28.914809+00:00
0,Reject application,Clerk-000008,2023-04-20 11:51:27.098319+00:00,2023-04-20 12:01:27.098319+00:00
4,Check credit history,Clerk-000004,2023-04-20 09:28:09.487046+00:00,2023-04-20 09:32:11.544921+00:00
5,Check application form completeness,Clerk-000006,2023-04-20 09:33:45+00:00,2023-04-20 10:23:13.126229+00:00
1,Assess loan risk,Loan Officer-000004,2023-04-20 10:16:39.462473+00:00,2023-04-20 10:36:39.462473+00:00
2,Check application form completeness,Clerk-000003,2023-04-20 11:02:28.914809+00:00,2023-04-20 13:08:03.707387+00:00
6,Check application form completeness,Clerk-000007,2023-04-20 09:52:30+00:00,2023-04-20 10:02:52.219795+00:00
5,Check credit history,Clerk-000002,2023-04-20 10:23:13.126229+00:00,2023-04-20 10:53:07.732046+00:00
1,Design loan offer,Loan Officer-000003,2023-04-20 10:36:39.462473+00:00,2023-04-20 10:40:42.786399+00:00
2,Check credit history,Clerk-000005,2023-04-20 13:08:03.707387+00:00,2023-04-20 13:30:25.262975+00:00
3,Appraise property,Appraiser-000002,2023-04-20 09:59:11.879907+00:00,2023-04-20 10:11:52.532045+00:00
6,Return application back to applicant,Clerk-000007,2023-04-20 10:02:52.219795+00:00,2023-04-20 10:07:52.219795+00:00
7,Check application form completeness,Clerk-000001,2023-04-20 10:11:15+00:00,2023-04-20 11:09:38.504312+00:00
1,Approve loan offer,Senior Officer-000001,2023-04-20 10:40:42.786399+00:00,2023-04-20 11:00:42.786399+00:00
5,AML check,AML Investigator-000002,2023-04-20 10:53:07.732046+00:00,2023-04-20 12:38:58.771821+00:00
2,AML check,AML Investigator-000002,2023-04-20 13:30:25.262975+00:00,2023-04-20 13:42:56.649819+00:00
3,AML check,AML Investigator-000001,2023-04-20 10:11:52.532045+00:00,2023-04-20 10:16:07.781533+00:00
8,Check application form completeness,Clerk-000006,2023-04-20 10:30:00+00:00,2023-04-20 10:55:17.830082+00:00
1,Approve application,Clerk-000002,2023-04-20 11:00:42.786399+00:00,2023-04-20 11:05:42.786399+00:00
7,Check credit history,Clerk-000004,2023-04-20 11:09:38.504312+00:00,2023-04-20 11:19:52.419141+00:00
5,Appraise property,Appraiser-000001,2023-04-20 12:38:58.771821+00:00,2023-04-20 12:41:31.228919+00:00
2,Appraise property,Appraiser-000001,2023-04-20 13:42:56.649819+00:00,2023-04-20 13:50:11.778150+00:00
4,Appraise property,Appraiser-000002,2023-04-20 10:11:52.532045+00:00,2023-04-20 10:51:02.158364+00:00
3,Assess loan risk,Loan Officer-000002,2023-04-20 10:16:07.781533+00:00,2023-04-20 10:36:07.781533+00:00
9,Check application form completeness,Clerk-000007,2023-04-20 10:48:45+00:00,2023-04-20 10:53:32.074056+00:00
8,Check credit history,Clerk-000007,2023-04-20 10:55:17.830082+00:00,2023-04-20 11:07:40.298167+00:00
6,Applicant completes form,Applicant-000001,2023-04-20 11:02:28.914809+00:00,2023-04-20 12:02:28.914809+00:00
5,Assess loan risk,Loan Officer-000001,2023-04-20 12:41:31.228919+00:00,2023-04-20 13:01:31.228919+00:00
2,Assess loan risk,Loan Officer-000004,2023-04-20 13:50:11.778150+00:00,2023-04-20 14:10:11.778150+00:00
3,Design loan offer,Loan Officer-000002,2023-04-20 10:36:07.781533+00:00,2023-04-20 10:42:42.106156+00:00
4,AML check,AML Investigator-000001,2023-04-20 10:51:02.158364+00:00,2023-04-20 11:11:22.049086+00:00
9,Check credit history,Clerk-000005,2023-04-20 10:53:32.074056+00:00,2023-04-20 11:03:16.304956+00:00
7,AML check,AML Investigator-000001,2023-04-20 11:19:52.419141+00:00,2023-04-20 12:01:56.945421+00:00
6,Check application form completeness,Clerk-000008,2023-04-20 12:02:28.914809+00:00,2023-04-20 12:34:40.068943+00:00
5,Design loan offer,Loan Officer-000003,2023-04-20 13:01:31.228919+00:00,2023-04-20 13:04:51.069560+00:00
2,Reject application,Clerk-000004,2023-04-20 14:10:11.778150+00:00,2023-04-20 14:20:11.778150+00:00
3,Approve loan offer,Senior Officer-000002,2023-04-20 10:42:42.106156+00:00,2023-04-20 11:02:42.106156+00:00
9,Appraise property,Appraiser-000002,2023-04-20 11:03:16.304956+00:00,2023-04-20 11:30:22.116348+00:00
4,Assess loan risk,Loan Officer-000002,2023-04-20 11:11:22.049086+00:00,2023-04-20 11:31:22.049086+00:00
8,AML check,AML Investigator-000001,2023-04-20 11:11:22.049086+00:00,2023-04-20 11:17:31.851766+00:00
7,Appraise property,Appraiser-000002,2023-04-20 12:01:56.945421+00:00,2023-04-20 12:46:55.338642+00:00
5,Approve loan offer,Senior Officer-000002,2023-04-20 13:04:51.069560+00:00,2023-04-20 13:24:51.069560+00:00
3,Cancel application,Clerk-000006,2023-04-20 11:02:42.106156+00:00,2023-04-20 11:07:42.106156+00:00
8,Appraise property,Appraiser-000001,2023-04-20 11:17:31.851766+00:00,2023-04-20 11:18:17.089332+00:00
4,Reject application,Clerk-000005,2023-04-20 11:31:22.049086+00:00,2023-04-20 11:41:22.049086+00:00
7,Assess loan risk,Loan Officer-000002,2023-04-20 12:46:55.338642+00:00,2023-04-20 13:06:55.338642+00:00
6,Appraise property,Appraiser-000002,2023-04-20 12:46:55.338642+00:00,2023-04-20 12:48:02.769127+00:00
5,Approve application,Clerk-000008,2023-04-20 13:24:51.069560+00:00,2023-04-20 13:29:51.069560+00:00
6,Check credit history,Clerk-000005,2023-04-20 12:48:02.769127+00:00,2023-04-20 13:05:02.386798+00:00
7,Design loan offer,Loan Officer-000003,2023-04-20 13:06:55.338642+00:00,2023-04-20 13:12:34.647497+00:00
8,Assess loan risk,Loan Officer-000003,2023-04-20 11:18:17.089332+00:00,2023-04-20 11:38:17.089332+00:00
9,AML check,AML Investigator-000001,2023-04-20 12:38:58.771821+00:00,2023-04-20 12:40:59.386414+00:00
6,AML check,AML Investigator-000001,2023-04-20 13:05:02.386798+00:00,2023-04-20 13:47:33.388503+00:00
7,Approve loan offer,Senior Officer-000001,2023-04-20 13:12:34.647497+00:00,2023-04-20 13:32:34.647497+00:00
8,Design loan offer,Loan Officer-000003,2023-04-20 11:38:17.089332+00:00,2023-04-20 11:47:31.984373+00:00
9,Assess loan risk,Loan Officer-000003,2023-04-20 12:40:59.386414+00:00,2023-04-20 13:00:59.386414+00:00
7,Approve application,Clerk-000001,2023-04-20 13:32:34.647497+00:00,2023-04-20 13:37:34.647497+00:00
6,Assess loan risk,Loan Officer-000002,2023-04-20 13:47:33.388503+00:00,2023-04-20 14:07:33.388503+00:00
8,Approve loan offer,Senior Officer-000001,2023-04-20 11:47:31.984373+00:00,2023-04-20 12:07:31.984373+00:00
9,Reject application,Clerk-000002,2023-04-20 13:00:59.386414+00:00,2023-04-20 13:10:59.386414+00:00
8,Cancel application,Clerk-000006,2023-04-20 12:07:31.984373+00:00,2023-04-20 12:12:31.984373+00:00
6,Design loan offer,Loan Officer-000002,2023-04-20 14:07:33.388503+00:00,2023-04-20 14:18:00.656628+00:00
6,Approve loan offer,Senior Officer-000002,2023-04-20 14:18:00.656628+00:00,2023-04-20 14:38:00.656628+00:00
