case_id,activity,previous_activity,previous_resource,decision_timestamp,candidate_count,shortlist_count,shortlist_resources,valid_bid_count,accepted_bid_count,bid_score_range,proposed_resource,executed_resource,proposal_accepted,selection_rule,bid_indices,execution_timestamp
0,Check application form completeness,,,2023-04-20 08:00:00+00:00,8,2,Clerk-000001|Clerk-000006,2,2,0.0,Clerk-000001,Clerk-000001,true,highest_valid_agent_bid,"[0, 1]",2023-04-20 08:00:00+00:00
0,AML check,Check application form completeness,Clerk-000001,2023-04-20 08:14:23.497469011+00:00,2,2,AML Investigator-000002|AML Investigator-000001,2,2,0.010602,AML Investigator-000002,AML Investigator-000002,true,highest_valid_agent_bid,"[2, 3]",2023-04-20 08:14:23.497469011+00:00
1,Check application form completeness,,,2023-04-20 08:30:00+00:00,8,2,Clerk-000006|Clerk-000008,2,2,0.0014720000000000288,Clerk-000006,Clerk-000006,true,highest_valid_agent_bid,"[4, 5]",2023-04-20 08:30:00+00:00
0,Appraise property,AML check,AML Investigator-000002,2023-04-20 09:33:51.203074165+00:00,2,2,Appraiser-000001|Appraiser-000002,2,2,0.010602,Appraiser-000001,Appraiser-000001,true,highest_valid_agent_bid,"[6, 7]",2023-04-20 09:33:51.203074165+00:00
1,Appraise property,Check application form completeness,Clerk-000006,2023-04-20 08:58:51.895713951+00:00,2,1,Appraiser-000002,1,1,0.0,Appraiser-000002,Appraiser-000002,true,highest_valid_agent_bid,[8],2023-04-20 08:58:51.895713951+00:00
2,Check application form completeness,,,2023-04-20 09:00:00+00:00,8,2,Clerk-000008|Clerk-000007,2,2,0.003679999999999961,Clerk-000008,Clerk-000008,true,highest_valid_agent_bid,"[9, 10]",2023-04-20 09:00:00+00:00
0,Check credit history,Appraise property,Appraiser-000001,2023-04-20 10:33:06.239307081+00:00,8,2,Clerk-000005|Clerk-000002,2,2,0.0008150000000000102,Clerk-000005,Clerk-000005,true,highest_valid_agent_bid,"[11, 12]",2023-04-20 10:33:06.239307081+00:00
3,Check application form completeness,,,2023-04-20 09:30:00+00:00,8,2,Clerk-000007|Clerk-000003,2,2,0.00368099999999999,Clerk-000007,Clerk-000007,true,highest_valid_agent_bid,"[13, 14]",2023-04-20 09:30:00+00:00
2,Return application back to applicant,Check application form completeness,Clerk-000008,2023-04-20 09:37:14.260330456+00:00,8,2,Clerk-000003|Clerk-000002,2,2,0.007559000000000038,Clerk-000003,Clerk-000003,true,highest_valid_agent_bid,"[15, 16]",2023-04-20 09:37:14.260330456+00:00
1,AML check,Appraise property,Appraiser-000002,2023-04-20 11:05:45.122607684+00:00,2,2,AML Investigator-000001|AML Investigator-000002,2,2,0.16439800000000004,AML Investigator-000001,AML Investigator-000001,true,highest_valid_agent_bid,"[17, 18]",2023-04-20 11:05:45.122607684+00:00
