case_id,from_resource,to_resource,activity,timestamp,message
S_llm_agent_proxy_0000,Clerk-000004,Clerk-000001,Check credit history,2023-04-20T08:39:41+00:00,Handover for Check credit history; selected Clerk-000001 from 7 feasible resources.
S_llm_agent_proxy_0000,Clerk-000001,Appraiser-000001,Appraise property,2023-04-20T09:48:08+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0000,Appraiser-000001,AML Investigator-000002,AML check,2023-04-20T10:38:35+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0000,AML Investigator-000002,Loan Officer-000004,Assess loan risk,2023-04-20T11:42:43+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0000,Loan Officer-000004,Loan Officer-000002,Design loan offer,2023-04-20T12:02:43+00:00,Handover for Design loan offer; selected Loan Officer-000002 from 4 feasible resources.
S_llm_agent_proxy_0000,Loan Officer-000002,Senior Officer-000002,Approve loan offer,2023-04-20T12:13:36+00:00,Handover for Approve loan offer; selected Senior Officer-000002 from 2 feasible resources.
S_llm_agent_proxy_0000,Senior Officer-000002,Clerk-000006,Cancel application,2023-04-20T12:33:36+00:00,Handover for Cancel application; selected Clerk-000006 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000008,AML Investigator-000002,AML check,2023-04-20T08:33:58+00:00,Handover for AML check; selected AML Investigator-000002 from 2 feasible resources.
S_llm_agent_proxy_0001,AML Investigator-000002,Clerk-000003,Check credit history,2023-04-20T08:37:00+00:00,Handover for Check credit history; selected Clerk-000003 from 8 feasible resources.
S_llm_agent_proxy_0001,Clerk-000003,Appraiser-000001,Appraise property,2023-04-20T08:46:16+00:00,Handover for Appraise property; selected Appraiser-000001 from 2 feasible resources.
S_llm_agent_proxy_0001,Appraiser-000001,Loan Officer-000004,Assess loan risk,2023-04-20T08:53:19+00:00,Handover for Assess loan risk; selected Loan Officer-000004 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000004,Loan Officer-000003,Design loan offer,2023-04-20T09:13:19+00:00,Handover for Design loan offer; selected Loan Officer-000003 from 4 feasible resources.
S_llm_agent_proxy_0001,Loan Officer-000003,Senior Officer-000001,Approve loan offer,2023-04-20T09:26:32+00:00,Handover for Approve loan offer; selected Senior Officer-000001 from 2 feasible resources.
